company,date,detailUrl,jobTitle,job_listing_no,location,page
"ASD, Inc.",2017-04-19,http://www.dice.com/job/result/asdinc/SRF2372?src=19,SR. WEBLOGIC APPLICATIONS ADMINISTRATOR (SRF2618),6501,"Washington, DC",131
SLCS SOLUTIONS Inc,2017-04-19,http://www.dice.com/job/result/90615200/948467?src=19,Sr Application Developer,6502,"Harrisburg, PA",131
Qlarion,2017-04-17,http://www.dice.com/job/result/10121641/827635?src=19,Qlik Sense Developer-Richmond,6503,"Richmond, VA",131
Kforce Inc.,2017-04-22,http://www.dice.com/job/result/kforcecx/ITEQG1620985?src=19,Project Manager,6504,"Madison, WI",131
"Dedicated Tech Services, Inc.",2017-04-22,http://www.dice.com/job/result/10113234/5556?src=19,Project Analyst/Coordinator,6505,"Columbus, OH",131
Conch Technologies,2017-04-18,http://www.dice.com/job/result/10125234/962714?src=19,Database Engineer(DB2 LUW on AIX),6506,"Washington, DC",131
Experis,2017-04-23,http://www.dice.com/job/result/COMSYSD/FOX_11221925-538?src=19,Principal Architect,6507,"Chicago, IL",131
Bucknell University,2017-04-20,http://www.dice.com/job/result/10301635/97252831?src=19,"Associate Director, Network and Telephony",6508,"Lewisburg, PA",131
General Dynamics Information Technology,2017-04-22,http://www.dice.com/job/result/90979310/23237?src=19,Principle JAVA Engineer,6509,"New Orleans, LA",131
Systems Technology Group Inc. (STG),2017-03-29,http://www.dice.com/job/result/10124418/SASFD12417?src=19,SAS Consultant,6510,"Dearborn, MI",131
MatchPoint Solutions,2017-04-13,http://www.dice.com/job/result/10230516/954002?src=19,Infrastructure Security,6511,"Indianapolis, IN",131
"VED Software Services, Inc.",2017-04-18,http://www.dice.com/job/result/vedmi001/963094?src=19,Phython /Cassandra Developer,6512,"Boston, MA",131
Systems Technology Group Inc. (STG),2017-03-29,http://www.dice.com/job/result/10124418/RAFD2617?src=19,"Reports Analyst (SSRS/SSAS, BO, WebFOCUS)",6513,"Dearborn, MI",131
