job_listing_no,job_type,page,salary_info,technical_skills,travel_info
1751,"Contract W2, 6+ mos",36,BASED ON EXPERIENCE,"DATA ANALYST, DATA ANALYTICS, DATA ANALYSIS, HDFS, HIVE, PRESTO, SPARK, HADOOP, REPORTING, REPORT, MARKETING, PAYMENT, PAYMENTS, DATA MART, DATA MARTS, DATA MODELLING, DATA MODELS","Telecommuting not available
Travel not required"
1752,"Contract Corp-To-Corp, Contract Independent, Contract W2, 2months",36,65-70/hr,"HR data analytics,","Telecommuting not available
Travel not required"
1753,"C2H W2, 3 MONTH RTH",36,Negotiable,"HORTON STACK, AGILE/SCRUM, REAL TIME/INGESTION,HEALTHCARE, Data Warehouse Design, BI reporting, Dashboard development,Java, Spark, Hive, HBase,ETL, Big Architecture","Telecommuting not available
Travel not required"
1754,"Contract Corp-To-Corp, Contract W2, 6 months",36,90-110$/hr,Big Data Platform & Analytics  ETL,"Telecommuting not available
Travel not required"
1755,"Contract W2, 18 Months",36,Depends On Experience,Technical Program Manager - Marketo - Data Analysis - Data Achitecture - SSRS,"Telecommuting not available
Travel not required"
1756,"Contract Corp-To-Corp, Contract Independent, Contract W2",36,Depends On Experience,"Erwin, Teradata","Telecommuting not available
Travel not required"
1757,"Contract Independent, Contract W2",36,Negotiable,"5+ years of Data Analysis, SQL, DB2, Unix, Statistics, Spark and Python a plus, SAS, Analytics","Telecommuting not available
Travel not required"
1758,"Contract W2, 12 Months",36,,MCP\MCSE- Microsoft Certification A+ - Hardware Certification CompTIA Network+,"Telecommuting not available
Travel not required"
1759,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 06-12 Months+",36,BEST,"NoSQL / No-SQL , Datastax Cassandra , Datastax Search","Telecommuting not available
Travel not required"
1760,Full Time,36,Depends On Experience,"DATA Integration, Enterprise Data warehouse,Data Transportation from source systems","Telecommuting not available
Travel not required"
1761,"Contract Independent, Contract W2, C2H Independent, C2H W2, 24 Mths CTH",36,CWE,"Oracle, Data Mart, Data Modeler, Embarcadero, ER Studio, Erwin, Physical Data Models, Logical Data Models,","Telecommuting not available
Travel not required"
1762,"Contract Corp-To-Corp, Long Term",36,open,BI Data Architect Erwin Data Modeling Software Oracle 11g Kimball data warehouse design principals,"Telecommuting not available
Travel not required"
1763,"Contract Independent, Contract W2, 6 Months",36,Hourly,"SAP FMS, SAP Master Data FMS, SAP Master Data AFS, SAP Master Data Retail, SAP Apparel, SAP Fashion","Telecommuting not available
Travel required to 100%."
1764,Full Time,36,Depends On Experience,"Data Modelling, Oracle, Data Architecture, IBM","Telecommuting not available
Travel not required"
1765,"Contract Corp-To-Corp, Contract W2, 12 months",36,Negotiable,"Informatica, Data Warehuose, ETL, Business Intelligence, 3rd Normal Form, SQL and querying skills","Telecommuting not available
Travel not required"
1766,"Contract W2, 2+ years",36,Negotiable,"Data Mapping, Analysis","Telecommuting not available
Travel not required"
1767,"Full Time, Contract Corp-To-Corp, Contract W2, long term",36,Negotiable,"SQL, UNIX/LINUX, DataStage, Sqoop, Pivotal Data Loader, Cognos, Qlikview, Business Objects","Telecommuting not available
Travel not required"
1768,Contract W2,36,70.00,"Strong DB skills, Pl/Sql, Informatica","Telecommuting not available
Travel not required"
1769,"Contract Corp-To-Corp, Full-time, Employee",36,Unspecified,"Encryption, Key Management, Identity Management, HIPPA, HITRUST, PCI - Encryption, Key Management, Identity Management, HIPPA, HITRUST, PCI","Telecommuting not available
Travel not required"
1770,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, 6 Months +",36,,"Access, Analyst, Architect, ERWIN, Excel, Global, Informatica, Insurance, Management, Manager, Metrics, Microsoft Excel, Other, Sharepoint, SQL, SSIS, Support, Technical, Visio","Telecommuting not available
Travel not required"
1771,Full Time,36,Depends On Experience,"Datacenter ,Servers, Racks, Network, Telecom,VOIP","Telecommuting not available
Travel not required"
1772,"Contract Independent, Contract W2, C2H Independent, C2H W2, 6+ mos",36,BASED ON EXPERIENCE,"REQUIRED KNOWLEDGE, SKILLS AND ABILITIES: Experience and aptitude in Data Analysis and requirements documentation software in an Agile environment A self-starter who is motivated to take ownership of projects and tasks through to completion in a remote environment Knowledge of relational databases and data creation for testing purposes An understanding of data analysis methodologies, deliverables, processes, strategies, techniques and software development life cycles (SDLCs) is critical. Strong written and oral communication skills. Strong analytical and critical thinking skills. Ability to work in a cross-functional team oriented environment MINIMUM REQUIRED EDUCATION AND EXPERIENCE Bachelor s Degree in Computer Science, Computer/Management Information Systems, or a related degree, or commensurate experience in lieu of degree","Telecommuting not available
Travel not required"
1773,"Full Time, permanent",36,Deluxe Comp. Pkg.,"distributed computing architecture and implementation, big data architecture, modeling and implementation","Telecommuting not available
Travel not required"
1774,Full Time,36,$18.00 - $20.00 per hour,"IT support, Linux, Data Center, x86 architecture, CompTIA","Telecommuting not available
Travel not required"
1775,Full Time,36,,"BI Tools, CRM, Database, Data Warehouse, Disaster Recovery, Hadoop, HTTP, LAN, NoSQL, PostgreSQL, Python","Telecommuting not available
Travel not required"
1776,"Full Time, Full-time, Employee",36,"$60,000 - $75,000","PL/SQL, ETL, Data Migration, Database Development, visual basic, SQL, Data Marts, Insurance Industry, Project Management - PL/SQL, ETL, Data Migration, Database Development, visual basic, SQL, Data Marts, Insurance Industry, Project Management","Telecommuting not available
Travel not required"
1777,"Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2",36,Negotiable,"AML, Analysis, Analyst, Business Requirements, Change Management, Data Analysis, Data Modeling, Data Warehouse, Development, Forth, Lifecycle, Management, Metrics, Modeling, MS Office, Project, Project Management, Release, Research, Risk Management, Specification, SQL, Testing","Telecommuting not available
Travel not required"
1778,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time",36,Negotiable,Big Data Engineer,"Telecommuting not available
Travel not required"
1779,Contract W2,36,,Business Data Architect,"Telecommuting not available
Travel not required"
1780,"Contract W2, Long Term",36,Market,"Master Data Management (MDM), Data Architect, ERWin","Telecommuting not available
Travel not required"
1781,"Contract Corp-To-Corp, Contract W2",36,0,SQL Hadoop HIVE Architecture Data Modelling Tableau,"Telecommuting not available
Travel not required"
1782,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, Part Time",36,150000,"network engineer, market data, bloomberg, rueters, reuters","Telecommuting not available
Travel not required"
1783,"Full Time, Full-time, Employee",36,"$100,000 - $150,000","Java, Groovy, Cassandra, Scala, Big Data, Hive - Java, Groovy, Cassandra, Scala, Big Data, Hive","Telecommuting not available
Travel not required"
1784,"Full Time, perm",36,160K+,big data cassandra hadoop sql t-sql c c++ low latency trading,"Telecommuting not available
Travel not required"
