job_listing_no,technical_skill
0,r
0,python
0,javascript
0,c
0,java
0,sql
0,data scientist
0,machine learning
0,data engineer
0,hadoop
0,hive
0,snowflake
0,pig
0,scala
1,5+ years experience as a data scientist. 3+ years experience managing engineering teams that solve complex problems. demonstrated experience performing and applying research in a company setting.
2,data scientist or data analyst
2,seo
2,r coding/ sql/python
3,algorithms
3,analysis
3,analyst
3,business intelligence
3,consulting
3,data analysis
3,database
3,data mining
3,data modeling
3,excel
3,genetic
3,modeling
3,networks
3,powerpoint
3,research
3,sas
3,sales
3,sql
3,statistical analysis
4,algorithms
4,database
4,development
4,modeling
4,python
4,research
4,scientific
5,data scientist
5,statistics
5,empirical data analysis
5,machine learning
5,python
5,nosql
5,big data
6,analysis
6,data analysis
6,foundation
6,manager
6,python
6,research
6,sql
7,algorithms
7,analysis
7,development
7,hadoop
7,modeling
7,project
7,python
7,research
7,sql
8,algorithms
8,analysis
8,data analysis
8,database
8,data mining
8,developer
8,development
8,excel
8,foundation
8,hadoop
8,hardware
8,java
8,lifecycle
8,modeling
8,ms office
8,networks
8,nosql
8,process reengineering
8,project
8,python
8,reengineering
8,sql
8,ups
9,agile
9,algorithms
9,analysis
9,data analysis
9,data mining
9,development
9,hadoop
9,manager
9,management
9,modeling
9,product engineering
9,python
9,research
9,validation
10,agile
10,analysis
10,analyst
10,ansi
10,business analyst
10,database
10,data mining
10,development
10,hadoop
10,mathematical
10,modeling
10,process reengineering
10,programming
10,python
10,reengineering
10,sql
10,supervision
10,testing
11,agile
11,analysis
11,analyst
11,business analyst
11,database
11,data mining
11,development
11,hadoop
11,mathematical
11,modeling
11,process reengineering
11,programming
11,python
11,reengineering
11,sql
11,supervision
11,testing
12,algorithms
12,analysis
12,data analysis
12,python
13,excellent communication skills
14,data science
14,machine learning
14,artificial intelligence
14,neural networks
15,"""data scientist"" and clearance and hadoop"
16,agile
16,analysis
16,analyst
16,ansi
16,business analyst
16,database
16,data mining
16,development
16,hadoop
16,mathematical
16,modeling
16,process reengineering
16,programming
16,python
16,reengineering
16,sql
16,supervision
16,testing
17,analysis
17,data analysis
17,data mining
17,development
17,http
17,java
17,modeling
17,networks
17,perl
17,programming
17,python
17,research
17,scientific
17,security
18,analysis
18,data mining
18,development
18,genetic
18,management
18,mathematical
18,mathematical models
18,modeling
18,physics
18,python
18,research
18,sas
18,sql
18,statistical analysis
19,data
19,analytics
19,mining
19,machine learning
19,scripting (python or r
19,etc.)
20,manager
20,data scientist
20,hadoop
20,cassandra
20,spark
20,hive
20,phd
20,data modeling
20,data mining
20,big data
21,artificial intelligence
21,biochemistry
21,biology
21,biotechnology
21,chemical engineering
21,consulting
21,data mining
21,development
21,excel
21,knowledge management
21,laboratory
21,manager
21,management
21,powerpoint
21,program manager
21,project
21,research
21,sales
22,experience supporting global
22,large scale it programs
23,analysis
23,data analysis
23,data mining
23,development
23,http
23,java
23,modeling
23,networks
23,perl
23,programming
23,python
23,research
23,security
24,machine learning
25,"""deep learning algorithm"" ""python"" ""java"" ""scala"" ""hadoop"" ""spark"" flink"""
26,data science
27,required qualifications ? * bachelor degree in computer science
27,information systems or related discipline; or 6 years of prior equivalent work related experience in lieu of a degree. * work
28,strong software development experience in a language such as java
28,scala
28,python or c
29,machine learning
29,deep learning
29,statistical analysis
29,mathematics
29,python
29,linux
29,bash
29,hadoop
29,computer science
30,aws skills (eg require s3
30,redshift
30,matillion etl & prefer future iot
30,machine learning) and tableau & power bi data visualization
31,hadoop
31,hive
31,pig
31,spark
31,storm
31,mahout
31,lucene
31,ruby
31,python
31,r
31,scala
31,sas
31,spss
31,matlab
31,c# and java
31,watson
31,knime
31,rapid miner
31,sas analytics studio
32,artificial intelligence
32,biochemistry
32,biology
32,biotechnology
32,chemical engineering
32,consulting
32,data mining
32,development
32,excel
32,knowledge management
32,laboratory
32,manager
32,management
32,powerpoint
32,program manager
32,project
32,research
32,sales
33,data scientist
33,big data
33,python
33,scala
33,java
33,r
33,machine learning
33,
34,analysis
34,data analysis
34,data mining
34,development
34,http
34,java
34,networks
34,perl
34,programming
34,python
34,research
34,security
35,algorithms
35,analysis
35,civil
35,data mining
35,modeling
35,oop
35,python
36,(see job description)
37,(see job description)
38,artificial intelligence
38,biochemistry
38,biology
38,biotechnology
38,chemical engineering
38,consulting
38,data mining
38,development
38,excel
38,knowledge management
38,laboratory
38,manager
38,management
38,powerpoint
38,program manager
38,project
38,research
38,sales
39,geospatial data scientist
40,artificial intelligence
40,biochemistry
40,biology
40,biotechnology
40,chemical engineering
40,consulting
40,data mining
40,development
40,excel
40,hadoop
40,knowledge management
40,laboratory
40,manager
40,management
40,powerpoint
40,program manager
40,project
40,research
40,sales
41,python
41,java
41,hadoop
41,spark
41,hive
42,data science
42,energy
42,natural resources
42,oil
42,renewable
42,finance
42,analytics
42,manager
42,consulting
42,strategy
43,data scientist
43,big data
43,trade reconstruction
44,algorithms
44,analysis
44,database
44,data mining
44,excel
44,http
44,management
44,metrics
44,modeling
44,modeling software
44,peoplesoft
44,powerpoint
44,programming
44,python
44,sql
44,sql server
45,analysis
45,database
45,data mining
45,development
45,hadoop
45,http
45,java
45,matlab
45,modeling
45,networks
45,perl
45,programming
45,python
45,research
45,sas
45,scientific
45,security
45,solr
46,senior data scientist
47,algorithms
47,analysis
47,data analysis
47,hardware
47,http
47,modeling
47,python
47,scripts
47,sql
47,supervision
47,testing
47,video
48,data scientist
49,algorithms
49,analysis
49,bind
49,consulting
49,development
49,genetics
49,html
49,http
49,ibm
49,mathematical
49,matlab
49,mobile app development
49,modeling
49,networks
49,programming
49,project
49,sas
49,sales
49,simulation
50,requirements:*5+ years of data analytics related to health care date experience. * demonstrates proficiency in most areas of mathematical analysis methods
50,machine learning
50,statistical analyses
50,and predictive modeling and in-depth specialization in some areas.* 5+ years of experience with r
50,python
50,sql and tableau.  * preferred experience with open source technologies.* strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources.* experience with rational databases; able to code and data queries. * use strong programming skills to explore
50,examine and interpret large volumes of data in various forms * anticipates and prevents problems and roadblocks before they occur* demonstrates strong ability to communicate technical concepts and implications to business partners.
51,data scientist
51,data analysis
51,data mining
51,optimization tools
51,machine learning
51,statistics
51,data scientist
51,data analysis
51,data mining
51,optimization tools
51,machine learning
51,statistics
51,data scientist
52,data analytics
52,data science
52,r
52,python
52,sas
52,sql
52,natural language processing
52,nlp
52,predictive modeling
52,data mining
52,algorithm classification
52,cluster analysis
52,decision tree
52,decision-tree
52,deep learning
52,munging
53,accounting
53,acl
53,algorithms
53,analysis
53,cissp
53,data mining
53,development
53,director
53,hadoop
53,http
53,java
53,management
53,matlab
53,modeling
53,peoplesoft
53,programming
53,python
53,sap
53,sas
53,security
53,sql
53,statistical analysis
53,vba
53,visual basic
54,data scientist
55,data mining
55,hadoop
55,networking
55,networks
55,programmer
55,security
56,machine learning
56,nlp techniques
56,aml
56,data mining
57,fulltime data scientists  - candidates for this role must possess work authorization which does not (and will not in the future) require sponsorship by an employer
58,artificial intelligence
58,biochemistry
58,biology
58,biotechnology
58,chemical engineering
58,consulting
58,data mining
58,development
58,excel
58,knowledge management
58,laboratory
58,manager
58,management
58,pl1
58,powerpoint
58,program manager
58,project
58,research
58,sas
58,sales
59,experience with hive
59,pig and mapreduce
59,python and classification
59,regression
59,clustering and text analysis.
60,matlab
60,sas
60,r
60,spss
60,sql
60,or python. sql
60,pl-sql and sql*loader for database applications. informatica software experience. hadoop 2.x
60,elastic search 1.4x
60,sqoop
60,and pig.
61,hive
61,pig
61,mysql
61,postgres
61,hadoop
61,mapreduce
61,spark
61,python
61,java
61,scala
62,bachelor's degree in a quantitative discipline such as statistics
62,math
62,or computer science.  minimum 4 years of sql and data modeling experience.  programming experience ideally in python
62,
63,analysis
63,data mining
63,development
63,genetic
63,management
63,mathematical
63,mathematical models
63,modeling
63,physics
63,python
63,research
63,sas
63,sql
63,statistical analysis
64,hadoop
64,hive
64,ruby
64,python
64,teradata
64,netezza
64,vertica
64,postgresql
64,mongodb
65,.net
65,python 2.5x programming
65,data scientist
65,data mining
65,machine learning
66,
67,big data
67,hadoop
67,recommendation engine/ system
67,data science
68,data scientist
68,machine learning
68,big data
68,pnl
68,algorithms
68,pig
68,hive
68,impala
68,nosql
68,hbase
68,cassandra
68,mongodb
68,hive
68,spark
69,marketing general
70,(data scientist ) and (sas ) and (machine learning or k-nn or naive bayes or svm or decision forest ) and(data science toolkit or r or weka or numpy or matlab ) and(data visualisation or d3.js or ggp
71,data
71,"""data scientist"""
71,sql
71,azure
71,"""power bi"""
71,"""apache hadoop"""
72,sql
72,etl
72,bi
72,python
73,natural language processing
73,machine learning
73,statistical analysis
73,predictive modelling
73,and hypothesis testing
73,r scripting
73,python scripting
73,hadoop
74,python
74,r
74,matlab
74,machine learning
75,big data
75,analyst
75,healthcare
75,data science
75,data scientist
75,data mining
75,bi
75,economics
75,medical economics
75,
76,analysis
76,civil
76,excel
76,python
76,scripts
76,sql
76,validation
77,deep learning
77,machine learning
77,data science
78,master's or phd
78,data science toolkit(s)
79,data modeling
80,python
80,java
80,nosql databases(hadoop)
80,realtime frameworks (kafka
80,flume)
81,tableau/machine learning/statistical/teradata/sql server/r programming/sas
82,data
82,predictive modeling
82,sql
82,sas
82,mining
83,
84,sas
84,python
84,statistics
84,spark
84,r
84,big data
84,data warehouse
84,math
84,science
85,data scientist
85,python
85,modeling
85,ci/cd
85,hadoop
85,vertica
85,tableau
85,cassandra
85,graph databases
85,hdfs
85,kafka
85,aws
86,
87,data
87,scientist
87,r
87,mathematics
87,problem solving
87,statistics
87,machine learning
88,statistics
88,data models
88,data mining
88,data analysis
88,r
88,python
88,spark
88,hadoop
88,cassandra. degree
89,automated
89,business intelligence
89,development
89,hadoop
89,java
89,modeling
89,programming
89,project
89,python
89,research
89,sas
89,sales
89,sql
89,testing
90,experience with data virtualization and paas.
91,sas
91,r and sql
92,apache
92,artificial intelligence
92,biochemistry
92,biology
92,biotechnology
92,chemical engineering
92,consulting
92,data mining
92,development
92,excel
92,hadoop
92,knowledge management
92,laboratory
92,manager
92,management
92,pl1
92,powerpoint
92,program manager
92,project
92,research
92,sas
92,sales
92,shell scripting
92,unix
93,expert in sql with any programming languages
94,algorithms
94,analysis
94,data analysis
94,excel
94,management
94,modeling
94,programming
94,project
94,research
94,sas
94,sales
94,sql
94,supervision
95,agile
95,analysis
95,architecture
95,bi tools
95,business intelligence
95,business objects
95,consulting
95,content management
95,data architecture
95,data modeling
95,data warehouse
95,db2
95,dba
95,development
95,hadoop
95,ibm
95,j2ee
95,java
95,manager
95,management
95,microstrategy
95,modeling
95,nosql
95,olap
95,oltp
95,oracle
95,programming
95,project
95,project management
95,rational
95,research
95,sql
95,tibco
95,uml
95,unix
95,websphere
95,windows
95,xml
96,base sas
96,r
96,python
96,mapreduce
96,spark
96,hive
96,pig
96,hbase
96,unix
96,hdfs
96,applied statistics
96,spotfire
96,knowledge of data modeling
96,
97,marketing general
98,data science
98,ibm watson
98,robotic process automation( rpa)
98,automation anywhere
99,predictive analysis
99,machine learning
99,data science
99,python or sas or r or matlab
99,
100,data scientist
100,data analysis
100,data mining
100,optimization tools
100,machine learning
100,statistics
100,data scientist
100,data analysis
100,data mining
100,optimization tools
100,machine learning
100,statistics
100,data scientist
101,sas
101,python
101,statistics
101,spark
